car_name,year,distance,owner,fuel,location,drive,type,price
Maruti Wagon R 1.0,2018,58165,2,PETROL,MP-04,Manual,HatchBack,383000
Maruti Wagon R 1.0,2011,22866,1,PETROL,DL-8C,Manual,HatchBack,220000
Maruti Baleno,2017,54410,1,PETROL,DL-9C,Manual,HatchBack,496000
Maruti Wagon R 1.0,2017,14524,1,PETROL,KA-53,Manual,HatchBack,463000
Renault Kwid,2015,66995,2,PETROL,MH-14,Manual,HatchBack,283000
Maruti Wagon R 1.0,2017,75537,1,CNG,DL-8C,Manual,HatchBack,374250
Maruti Dzire,2017,39198,1,PETROL,TS-08,Automatic,Sedan,973000
Maruti Baleno,2016,74270,2,DIESEL,MH-12,Manual,HatchBack,545000
Maruti Baleno,2017,36573,3,PETROL,TN-14,Manual,HatchBack,610000
Maruti A Star,2010,64103,2,PETROL,KA-02,Manual,HatchBack,221000
Maruti Alto 800,2018,26158,1,PETROL,PB-91,Manual,HatchBack,343000
Maruti Alto,2019,60299,1,PETROL,GJ-03,Manual,HatchBack,380000
Maruti Baleno,2017,32343,1,PETROL,MH-14,Automatic,HatchBack,603000
Maruti Ciaz,2015,123077,2,DIESEL,GJ-01,Manual,Sedan,569350
Hyundai Elite i20,2017,29201,2,PETROL,MH-02,Manual,HatchBack,561000
Honda City,2017,71105,1,PETROL,MH-48,Automatic,Sedan,627000
Maruti Swift Dzire,2012,73399,1,PETROL,AP-23,Manual,Sedan,419000
Maruti Swift Dzire,2013,41312,1,PETROL,AP-10,Manual,Sedan,451000
Maruti Baleno,2017,34102,1,PETROL,MH-03,Manual,HatchBack,624000
Hyundai i10,2011,69532,1,PETROL,KA-05,Automatic,HatchBack,343000
Maruti Vitara Brezza,2020,41465,2,DIESEL,HR-13,Manual,SUV,726000
Maruti Ritz,2014,75638,2,PETROL,TS-13,Manual,HatchBack,378000
Maruti Dzire,2019,51377,1,PETROL,TS-08,Automatic,Sedan,672000
Maruti Swift Dzire,2014,35872,1,PETROL,WB-02,Manual,Sedan,336000
Honda Jazz,2015,74079,2,PETROL,GJ-06,Manual,HatchBack,428000
Maruti Wagon R 1.0,2011,79275,1,PETROL,DL-8C,Manual,HatchBack,202000
Hyundai Grand i10,2018,27721,1,PETROL,DL-8C,Manual,HatchBack,497000
Maruti Swift,2018,21347,1,PETROL,DL-5C,Manual,HatchBack,559000
Maruti IGNIS,2017,59811,1,PETROL,MH-05,Automatic,HatchBack,537000
Nissan Micra,2018,89172,1,PETROL,GJ-05,Automatic,HatchBack,449000
Maruti Baleno,2019,31867,1,PETROL,DL-8C,Manual,HatchBack,680000
Hyundai i20,2012,39845,1,PETROL,MH-02,Manual,HatchBack,320000
Maruti Alto K10,2015,67182,2,PETROL,MH-12,Automatic,HatchBack,348000
Mahindra XUV500,2018,69690,1,DIESEL,MH-47,Manual,Lux_SUV,1187000
Renault Kwid,2019,66740,1,PETROL,GJ-05,Automatic,HatchBack,401000
Honda Brio,2014,70683,2,PETROL,UP-32,Manual,HatchBack,286000
Maruti Swift,2019,39280,2,PETROL,GJ-05,Manual,HatchBack,572000
Maruti Vitara Brezza,2019,41265,2,DIESEL,GJ-03,Manual,SUV,914000
Hyundai Verna,2017,58942,1,PETROL,MH-12,Automatic,Sedan,802000
Hyundai i20,2014,36766,2,PETROL,KA-51,Manual,HatchBack,525000
Hyundai Eon,2016,33476,1,PETROL,MH-12,Manual,HatchBack,327000
Hyundai Creta,2015,99951,2,PETROL,DL-1C,Manual,SUV,690000
Tata Tiago,2021,12060,1,PETROL,TN-09,Manual,HatchBack,667000
Tata Tiago,2019,30214,1,PETROL,TN-58,Manual,HatchBack,477000
Ford Ecosport,2016,46706,1,PETROL,DL-2C,Manual,SUV,692000
Maruti Wagon R 1.0,2014,53706,1,PETROL,MH-15,Manual,HatchBack,327000
Hyundai Grand i10,2014,59973,1,PETROL,TS-07,Manual,HatchBack,440000
Maruti Alto,2020,61703,1,PETROL,PB-07,Manual,HatchBack,333000
Hyundai Eon,2015,43724,1,PETROL,KA-19,Manual,HatchBack,299000
Maruti Baleno,2017,26371,1,PETROL,HR-30,Manual,HatchBack,529000
Hyundai Verna,2017,114451,1,DIESEL,KA-13,Manual,Sedan,800000
Maruti Celerio,2020,81389,1,CNG,MH-12,Manual,HatchBack,497000
Ford Ecosport,2017,33921,1,PETROL,TN-12,Manual,SUV,722000
Mahindra Bolero,2020,47559,2,DIESEL,UP-32,Manual,SUV,762000
Maruti Alto K10,2010,54671,1,PETROL,KA-03,Manual,HatchBack,233000
Hyundai i10,2010,50831,3,PETROL,KA-51,Manual,HatchBack,241000
Maruti Celerio,2020,50393,1,CNG,MH-43,Manual,HatchBack,507000
Hyundai VENUE,2021,16860,2,PETROL,TN-12,Manual,SUV,1007000
Maruti Dzire,2020,69384,2,DIESEL,WB-20,Automatic,Sedan,676000
Renault Duster,2016,52851,1,DIESEL,GJ-16,Manual,SUV,573000
Maruti Alto 800,2015,61979,1,PETROL,TS-09,Manual,HatchBack,277000
Hyundai i10,2011,72666,1,PETROL,MH-12,Manual,HatchBack,237000
Maruti IGNIS,2020,52819,1,PETROL,BR-01,Automatic,HatchBack,611000
Renault Kwid,2019,19797,1,PETROL,DL-8C,Manual,HatchBack,344000
Hyundai NEW SANTRO,2018,39198,2,PETROL,MP-04,Automatic,HatchBack,538000
Honda City,2016,16856,1,PETROL,HR-26,Manual,Sedan,702000
Toyota Etios Liva,2014,73506,1,PETROL,DL-8C,Manual,HatchBack,269800
Maruti Ciaz,2015,51252,1,PETROL,TN-12,Automatic,Sedan,716000
Maruti Alto,2019,20494,1,PETROL,CH-01,Manual,HatchBack,324000
Maruti Ciaz,2018,14290,1,PETROL,MH-14,Automatic,Sedan,1368000
Honda Jazz,2017,50359,1,PETROL,KA-04,Automatic,HatchBack,696000
Renault Kwid,2018,9889,1,PETROL,DL-12,Manual,HatchBack,350000
Maruti Wagon R 1.0,2014,40670,1,CNG,MH-12,Manual,HatchBack,376000
Renault TRIBER,2022,5303,1,PETROL,MH-12,Manual,SUV,719000
Maruti Celerio,2016,63509,1,PETROL,MH-34,Automatic,HatchBack,413000
Hyundai NEW I20,2021,17449,2,DIESEL,KA-11,Manual,HatchBack,856000
Maruti Baleno,2019,43476,2,PETROL,RJ-02,Manual,HatchBack,588000
Honda Amaze,2021,11799,1,PETROL,KL-22,Manual,Sedan,799000
Maruti Wagon R 1.0,2014,52914,1,PETROL,TN-22,Manual,HatchBack,364000
Hyundai Santro Xing,2011,73284,2,PETROL,MP-09,Manual,HatchBack,218000
Hyundai GRAND I10 NIOS,2019,55115,2,PETROL,MH-40,Manual,HatchBack,535000
Maruti Celerio,2016,40547,1,PETROL,KA-05,Automatic,HatchBack,452000
Maruti Wagon R 1.0,2013,50244,1,PETROL,MH-01,Manual,HatchBack,298000
Renault Kwid,2018,46656,1,PETROL,GJ-05,Manual,HatchBack,352000
Honda City,2014,36222,2,PETROL,MH-03,Manual,Sedan,557000
Honda Brio,2012,66201,2,PETROL,MH-12,Manual,HatchBack,279000
Hyundai Verna,2019,66427,1,PETROL,TS-07,Manual,Sedan,974000
Maruti New Wagon-R,2021,77064,1,CNG,HR-36,Manual,HatchBack,594000
Maruti Dzire,2018,111035,1,PETROL,,Automatic,Sedan,512000
Maruti IGNIS,2019,21167,1,PETROL,MH-49,Automatic,HatchBack,651000
Nissan Micra Active,2018,81680,1,PETROL,TN-14,Manual,HatchBack,399000
Honda Amaze,2018,34578,1,PETROL,RJ-45,Manual,Sedan,1111000
Toyota YARIS,2018,31428,2,PETROL,CH-01,Automatic,Sedan,807000
Hyundai VENUE,2021,20357,2,PETROL,MH-14,Manual,SUV,781000
Hyundai GRAND I10 NIOS,2019,18111,1,PETROL,GJ-06,Manual,HatchBack,654000
Hyundai NEW SANTRO,2021,11041,1,PETROL,MP-04,Manual,HatchBack,529000
Maruti Dzire,2020,74490,1,PETROL,UP-32,Manual,Sedan,602000
Hyundai GRAND I10 NIOS,2020,29284,1,PETROL,GJ-01,Automatic,HatchBack,713000
Maruti Swift,2019,81694,1,CNG,HR-10,Manual,HatchBack,537000
Maruti Dzire,2018,72038,3,DIESEL,MP-09,Manual,Sedan,576000
Maruti Swift Dzire,2013,57512,1,PETROL,MH-02,Manual,Sedan,467000
Maruti Swift,2019,37732,1,PETROL,MP-09,Manual,HatchBack,601000
Maruti Dzire,2018,51133,1,DIESEL,UP-32,Manual,Sedan,630000
Renault Duster,2019,47944,1,PETROL,DL-7C,Manual,SUV,762000
Ford Ecosport,2017,33493,1,PETROL,KA-01,Automatic,SUV,777000
Maruti Swift,2017,21083,1,PETROL,GJ-01,Manual,HatchBack,544000
Tata Harrier,2020,44616,1,DIESEL,BR-01,Manual,SUV,1740000
Maruti Baleno,2019,53219,1,PETROL,GJ-01,Manual,HatchBack,628000
Maruti Alto K10,2010,60180,2,PETROL,HR-20,Manual,HatchBack,177000
KIA SONET,2022,5758,1,DIESEL,GJ-01,Automatic,SUV,1431000
Maruti Baleno,2017,89581,1,PETROL,TS-05,Manual,HatchBack,646000
Datsun Redi Go,2017,115401,1,PETROL,,Manual,HatchBack,213000
Maruti Ciaz,2018,52698,1,PETROL,DL-8C,Manual,Sedan,361000
Maruti Swift,2019,47262,1,PETROL,PB-70,Manual,HatchBack,605000
Hyundai Grand i10,2017,16634,2,PETROL,KA-51,Manual,HatchBack,533000
Tata TIGOR,2017,110311,1,PETROL,,Manual,Sedan,441000
Honda City,2014,54759,1,PETROL,CH-01,Manual,Sedan,508000
Maruti Alto 800,2013,48444,1,PETROL,KA-36,Manual,HatchBack,286000
Maruti Swift Dzire,2015,42976,1,PETROL,MH-05,Automatic,Sedan,476000
Maruti Swift,2017,52382,1,PETROL,KA-25,Manual,HatchBack,676000
Hyundai i10,2012,24918,2,PETROL,MH-02,Manual,HatchBack,269000
Tata Tiago,2018,44315,1,PETROL,TS-08,Manual,HatchBack,467000
Maruti Vitara Brezza,2018,48451,1,DIESEL,MH-03,Manual,SUV,930000
Maruti IGNIS,2022,12699,1,PETROL,TN-07,Manual,HatchBack,732000
Maruti Ciaz,2018,24385,1,PETROL,GJ-27,Manual,Sedan,748000
Hyundai Grand i10,2016,71337,1,PETROL,GJ-06,Manual,HatchBack,451000
Renault Kwid,2016,83219,1,PETROL,MH-02,Manual,HatchBack,270000
Maruti Baleno,2016,43655,1,PETROL,KA-03,Manual,HatchBack,630000
Honda City,2014,45165,2,PETROL,PB-02,Manual,Sedan,779000
Tata PUNCH,2022,7125,1,PETROL,MH-04,Manual,SUV,725000
Hyundai Creta,2018,32209,1,PETROL,MH-03,Automatic,SUV,1188000
Maruti New Wagon-R,2019,85969,1,CNG,DL-9C,Manual,HatchBack,496000
Maruti Swift,2019,31286,1,PETROL,TS-09,Automatic,HatchBack,690000
Volkswagen Polo,2021,30088,1,PETROL,TS-07,Manual,HatchBack,761000
Maruti Alto K10,2015,61108,1,PETROL,CH-01,Manual,HatchBack,281000
Renault Duster,2016,93415,1,DIESEL,GJ-27,Manual,SUV,608000
Maruti Alto 800,2017,57971,2,PETROL,UP-14,Manual,HatchBack,260000
Hyundai Elite i20,2014,76697,3,DIESEL,TN-02,Manual,HatchBack,520000
Hyundai VENUE,2020,11066,1,PETROL,UP-16,Manual,SUV,1090000
Mahindra TUV300,2018,36242,1,DIESEL,UP-14,Automatic,SUV,794000
Hyundai i20,2011,46494,2,PETROL,WB-20,Manual,HatchBack,207000
Maruti Dzire,2020,71019,2,DIESEL,TS-08,Manual,Sedan,641000
Renault TRIBER,2020,14282,1,PETROL,DL-12,Automatic,SUV,691000
Tata Tiago,2019,42739,2,PETROL,TN-09,Manual,HatchBack,515000
Maruti Swift Dzire,2011,16153,1,PETROL,DL-9C,Manual,Sedan,873000
Maruti S PRESSO,2022,5787,1,PETROL,GJ-17,Manual,HatchBack,444000
Hyundai i10,2012,63585,1,PETROL,HR-26,Manual,HatchBack,222000
Maruti Wagon R 1.0,2013,61132,1,PETROL,AP-29,Manual,HatchBack,320000
Honda City,2015,46836,1,PETROL,MP-09,Manual,Sedan,624000
Maruti Swift,2014,52802,2,PETROL,KA-05,Manual,HatchBack,514000
Volkswagen Polo,2019,47613,1,PETROL,KA-03,Manual,HatchBack,767000
Hyundai Grand i10,2015,88880,1,PETROL,MP-04,Manual,HatchBack,429000
Toyota Camry,2015,66467,1,PETROL,MH-02,Automatic,Lux_sedan,1122000
Hyundai Verna,2021,42075,1,PETROL,DL-7C,Manual,Sedan,619000
Maruti Ciaz,2015,44348,1,PETROL,TS-08,Automatic,Sedan,746000
Maruti Swift,2018,32875,1,PETROL,GJ-06,Manual,HatchBack,579000
Hyundai Creta,2018,49538,1,DIESEL,UP-14,Manual,SUV,1056000
Hyundai Creta,2015,39584,1,PETROL,MH-47,Manual,SUV,807400
Honda City,2016,73338,1,PETROL,GJ-05,Manual,Sedan,632000
Toyota Corolla Altis,2015,66362,3,PETROL,HR-26,Automatic,Lux_sedan,860000
Maruti IGNIS,2017,36248,1,PETROL,KA-51,Manual,HatchBack,596000
Renault Duster,2016,56156,1,DIESEL,UP-16,Automatic,SUV,548000
Renault Duster,2016,100583,1,DIESEL,HR-26,Manual,SUV,492000
Maruti Swift,2018,42059,2,PETROL,KA-04,Automatic,HatchBack,705000
Tata Tiago,2018,38575,2,PETROL,KA-01,Automatic,HatchBack,571000
Maruti Baleno,2017,20607,2,PETROL,KA-03,Manual,HatchBack,648000
Honda Civic,2012,56446,2,PETROL,UP-32,Automatic,Sedan,520000
Hyundai GRAND I10 NIOS,2022,17428,1,CNG,DL-7C,Manual,HatchBack,719000
Honda Jazz,2022,11365,1,PETROL,TS-13,Automatic,HatchBack,947000
Hyundai Creta,2016,52891,1,PETROL,MH-47,Manual,SUV,733000
Volkswagen Vento,2020,21275,1,PETROL,MH-48,Manual,Sedan,641000
Honda Amaze,2019,44514,1,PETROL,BR-01,Manual,Sedan,479000
Maruti Alto K10,2015,30751,1,PETROL,KA-03,Manual,HatchBack,341000
Honda Jazz,2018,39284,1,PETROL,GJ-27,Manual,HatchBack,614000
Hyundai Grand i10,2019,37965,1,PETROL,GJ-01,Automatic,HatchBack,626000
Maruti Swift Dzire,2014,83845,1,PETROL,KA-02,Manual,Sedan,607000
KIA SELTOS,2019,57179,1,PETROL,TS-07,Manual,SUV,1197000
