car_name,year,distance,owner,fuel,location,drive,type,price
Maruti IGNIS,2018,55043,1,PETROL,MH-12,Manual,HatchBack,477000
Hyundai Grand i10,2017,34332,2,CNG,HR-29,Manual,HatchBack,495000
Maruti Wagon R 1.0,2011,79945,2,PETROL,KA-53,Manual,HatchBack,288000
Tata Tiago,2019,47600,2,PETROL,KL-08,Manual,HatchBack,516000
Hyundai i20,2013,56022,3,PETROL,TN-01,Manual,HatchBack,348000
Maruti Wagon R 1.0,2015,67006,2,CNG,MH-03,Manual,HatchBack,322000
Maruti Alto,2020,25167,1,PETROL,MP-09,Manual,HatchBack,363000
Hyundai Creta,2015,62690,2,PETROL,DL-1C,Manual,SUV,704000
Honda City,2016,0,2,PETROL,HR-72,Manual,Sedan,640000
Hyundai Elite i20,2016,56346,2,PETROL,TS-11,Manual,HatchBack,626000
Maruti Swift Dzire,2015,85756,1,PETROL,WB-08,Manual,Sedan,352000
Maruti Alto K10,2014,47899,1,PETROL,HR-36,Manual,HatchBack,273000
Volkswagen Vento,2016,51007,2,PETROL,WB-02,Automatic,Sedan,727000
Volkswagen Polo,2015,97181,2,PETROL,MH-03,Automatic,HatchBack,523000
Maruti Swift Dzire,2016,32987,1,DIESEL,KA-19,Manual,Sedan,1322000
Maruti Swift,2012,99067,2,DIESEL,MH-46,Manual,HatchBack,347000
Hyundai i20,2013,60806,1,PETROL,DL-4C,Manual,HatchBack,354000
Mahindra XUV500,2018,57411,1,DIESEL,TN-01,Manual,Lux_SUV,1230000
Volkswagen Ameo,2018,90811,1,PETROL,PB-36,Manual,Sedan,465000
Maruti Swift,2017,75176,1,DIESEL,PB-06,Manual,HatchBack,450000
Hyundai GRAND I10 NIOS,2020,21360,1,PETROL,TS-15,Automatic,HatchBack,746000
Toyota YARIS,2021,48897,1,PETROL,DL-1C,Automatic,Sedan,916000
Maruti Wagon R 1.0,2018,82023,1,CNG,MH-04,Manual,HatchBack,405000
Maruti Baleno,2019,46430,1,PETROL,KL-07,Manual,HatchBack,693000
Maruti Baleno,2017,23879,3,PETROL,MH-02,Manual,HatchBack,546000
Maruti New Wagon-R,2022,25885,1,CNG,UP-32,Manual,HatchBack,686000
Renault Kwid,2016,61496,2,PETROL,MH-12,Manual,HatchBack,283000
Honda Brio,2016,65453,1,PETROL,KA-01,Manual,HatchBack,476000
Maruti IGNIS,2017,40349,1,PETROL,MP-43,Manual,HatchBack,446000
Maruti Swift Dzire,2013,28713,1,PETROL,TN-06,Automatic,Sedan,1289000
Honda Amaze,2017,74577,2,PETROL,MH-46,Manual,Sedan,394000
Hyundai Elite i20,2016,82860,1,PETROL,MP-11,Manual,HatchBack,506000
Hyundai GRAND I10 NIOS,2020,18244,1,PETROL,UP-78,Automatic,HatchBack,603000
Maruti Baleno,2020,27459,1,PETROL,KA-05,Manual,HatchBack,743000
Maruti Alto 800,2018,85648,1,PETROL,RJ-45,Manual,HatchBack,299000
Maruti Baleno,2019,37865,1,PETROL,MH-47,Manual,HatchBack,645000
Hyundai Grand i10,2017,21520,1,PETROL,MH-12,Manual,HatchBack,507000
Hyundai Eon,2015,90774,2,PETROL,GJ-01,Manual,HatchBack,229000
Honda City,2018,44163,1,PETROL,GJ-06,Manual,Sedan,670000
Hyundai NEW SANTRO,2019,21926,1,PETROL,GJ-27,Automatic,HatchBack,575000
Hyundai Grand i10,2015,60794,1,PETROL,GJ-01,Manual,HatchBack,482000
Toyota YARIS,2021,111610,1,DIESEL,TN-04,Manual,Sedan,567000
Volkswagen Vento,2018,8548,2,PETROL,TS-06,Manual,Sedan,758000
Honda Jazz,2015,31382,1,PETROL,MH-14,Manual,HatchBack,488000
Maruti IGNIS,2018,107798,1,PETROL,,Automatic,HatchBack,496000
Hyundai Elite i20,2016,95931,2,PETROL,TS-07,Manual,HatchBack,572000
Maruti Swift Dzire,2015,67685,2,CNG,DL-10,Automatic,Sedan,728000
Volkswagen Polo,2020,70402,1,PETROL,TN-23,Manual,HatchBack,795000
Hyundai GRAND I10 NIOS,2019,22179,1,PETROL,UP-67,Manual,HatchBack,606000
Tata NEXON,2021,9044,1,PETROL,TS-08,Manual,SUV,1091000
Hyundai Grand i10,2018,20173,2,PETROL,MH-06,Manual,HatchBack,509000
Maruti S PRESSO,2022,14157,1,PETROL,GJ-01,Manual,HatchBack,563000
Maruti Wagon R 1.0,2013,61173,2,PETROL,TN-65,Manual,HatchBack,316000
Maruti Alto K10,2017,45497,1,PETROL,KA-02,Manual,HatchBack,380000
Hyundai NEW SANTRO,2019,17629,1,PETROL,HR-51,Manual,HatchBack,445000
Honda City,2010,53384,1,PETROL,AP-09,Manual,Sedan,398000
Hyundai Grand i10,2016,36493,1,PETROL,GJ-01,Manual,HatchBack,490000
Maruti Alto 800,2017,21877,1,PETROL,GJ-03,Manual,HatchBack,294000
Maruti Eeco,2020,9452,1,PETROL,GJ-07,Manual,SUV,456000
Maruti Alto K10,2016,59423,1,PETROL,HR-36,Manual,HatchBack,321000
Maruti Swift,2012,47073,1,PETROL,DL-8C,Manual,HatchBack,340000
Honda Jazz,2016,65072,1,PETROL,KA-01,Manual,HatchBack,694000
Maruti Wagon R 1.0,2012,78259,1,PETROL,GJ-05,Manual,HatchBack,276000
Honda City,2016,86290,1,PETROL,GJ-23,Manual,Sedan,757000
Hyundai NEW SANTRO,2019,19216,1,PETROL,TS-13,Manual,HatchBack,515000
Tata Tiago,2017,101363,2,PETROL,,Automatic,HatchBack,450000
Hyundai NEW I20 N LINE,2021,45479,1,PETROL,TS-07,Manual,HatchBack,959000
Maruti Alto,2020,9533,1,PETROL,HR-35,Manual,HatchBack,406000
Toyota YARIS,2018,24612,1,PETROL,KA-04,Manual,Sedan,733000
Maruti Dzire,2017,110257,2,DIESEL,TN-59,Manual,Sedan,501000
Maruti S Cross,2016,94756,1,DIESEL,KA-04,Manual,SUV,733000
Maruti Vitara Brezza,2018,78655,2,DIESEL,GJ-16,Manual,SUV,786000
Maruti Dzire,2017,108597,1,PETROL,,Manual,Sedan,556000
Maruti New Wagon-R,2019,18846,1,PETROL,PB-07,Manual,HatchBack,490000
Maruti New Wagon-R,2021,54496,1,CNG,UP-14,Manual,HatchBack,609000
Honda Jazz,2016,51949,1,PETROL,UP-14,Automatic,HatchBack,525000
Maruti Wagon R 1.0,2013,62438,1,PETROL,AP-28,Manual,HatchBack,339000
Maruti Swift,2018,36789,1,PETROL,KA-51,Manual,HatchBack,657000
Maruti Alto K10,2017,31241,1,PETROL,DL-5C,Manual,HatchBack,308000
Maruti S PRESSO,2020,6844,1,PETROL,WB-24,Manual,HatchBack,411000
Maruti Alto 800,2019,26650,2,CNG,HR-51,Manual,HatchBack,355000
Maruti Swift,2014,118111,1,DIESEL,KA-01,Manual,HatchBack,532000
Maruti Swift,2013,36577,3,PETROL,AP-29,Manual,HatchBack,411000
Maruti S PRESSO,2022,21211,1,PETROL,HR-13,Manual,HatchBack,423000
Maruti Alto,2020,28756,1,PETROL,UP-13,Manual,HatchBack,386000
Maruti S PRESSO,2021,25230,1,PETROL,KA-41,Manual,HatchBack,435000
Maruti Ciaz,2017,37920,1,PETROL,TN-22,Manual,Sedan,664000
Maruti Alto,2020,27993,1,CNG,MH-12,Manual,HatchBack,445000
Honda WR-V,2018,50925,1,PETROL,UP-53,Manual,SUV,598000
Honda City,2017,35364,1,PETROL,HR-51,Manual,Sedan,729000
Renault Duster,2018,73676,1,DIESEL,DL-3C,Manual,SUV,659000
Maruti Baleno,2019,42783,2,PETROL,TS-10,Manual,HatchBack,721000
Maruti S PRESSO,2021,26541,1,CNG,GJ-15,Manual,HatchBack,489000
Maruti Swift,2014,63998,1,PETROL,MP-09,Manual,HatchBack,457000
Renault Kwid,2021,21575,1,PETROL,MH-05,Automatic,HatchBack,510000
Toyota Corolla Altis,2011,117499,2,CNG,MH-02,Manual,Lux_sedan,293000
Hyundai VENUE,2021,2195,1,DIESEL,DL-5C,Manual,SUV,1214000
Hyundai Creta,2016,34687,1,PETROL,DL-7C,Manual,SUV,768000
Renault TRIBER,2022,23326,1,PETROL,PB-70,Manual,SUV,768000
Maruti Celerio,2017,78635,2,PETROL,TN-13,Automatic,HatchBack,435000
Maruti Baleno,2019,43970,1,PETROL,GJ-24,Manual,HatchBack,614000
Maruti Celerio,2017,11549,1,PETROL,KA-25,Manual,HatchBack,498000
Hyundai Elite i20,2017,26997,1,PETROL,TS-08,Manual,HatchBack,701000
Tata Tiago,2020,18021,1,PETROL,HR-87,Automatic,HatchBack,611000
Hyundai Creta,2016,103177,1,PETROL,,Manual,SUV,928000
Maruti Celerio X,2019,44363,1,PETROL,TS-09,Manual,HatchBack,556000
Maruti Swift,2015,20248,1,PETROL,KA-53,Manual,HatchBack,594000
Maruti Alto 800,2018,8458,1,PETROL,MH-48,Manual,HatchBack,350000
Hyundai Elite i20,2017,34803,1,PETROL,UP-16,Manual,HatchBack,577000
Maruti Baleno,2019,15032,1,PETROL,MH-12,Manual,HatchBack,699000
Maruti Celerio,2022,7843,1,PETROL,GJ-06,Manual,HatchBack,537000
Hyundai NEW SANTRO,2019,30841,1,CNG,HR-13,Manual,HatchBack,463000
Ford Ecosport,2018,53505,1,PETROL,WB-16,Automatic,SUV,741000
Maruti Swift,2013,55334,2,DIESEL,KA-01,Manual,HatchBack,482000
Honda WR-V,2017,29253,2,PETROL,KA-03,Manual,SUV,715000
Mahindra XUV500,2017,111649,1,DIESEL,GJ-18,Automatic,Lux_SUV,1066000
Maruti IGNIS,2017,18159,1,PETROL,KA-51,Automatic,HatchBack,644000
Hyundai Elite i20,2019,83298,1,PETROL,TN-05,Manual,HatchBack,640000
Maruti Wagon R 1.0,2011,63665,2,PETROL,DL-2C,Manual,HatchBack,167000
Datsun Go Plus,2019,23700,1,PETROL,TN-37,Manual,HatchBack,503000
Maruti Swift Dzire,2016,80005,1,PETROL,DL-9C,Automatic,Sedan,655000
Mahindra XUV500,2017,61290,2,DIESEL,KA-03,Automatic,Lux_SUV,1200000
Maruti Alto,2010,34094,2,PETROL,TN-06,Manual,HatchBack,204000
Skoda SLAVIA,2022,60341,2,DIESEL,KA-05,Automatic,Sedan,650650
Renault Kwid,2017,39699,2,PETROL,MH-12,Automatic,HatchBack,312000
Maruti Wagon R 1.0,2015,72393,2,PETROL,TS-10,Manual,HatchBack,370000
Hyundai Elite i20,2020,54317,1,PETROL,GJ-12,Automatic,HatchBack,803000
Skoda Rapid,2012,81645,1,DIESEL,KA-51,Manual,Sedan,438000
Hyundai GRAND I10 NIOS,2019,38857,1,PETROL,MH-12,Automatic,HatchBack,725000
Maruti New Wagon-R,2020,76171,1,CNG,HR-36,Manual,HatchBack,560000
Hyundai Grand i10,2018,56587,2,PETROL,GJ-01,Manual,HatchBack,482000
Tata Tiago,2021,15113,2,PETROL,HR-26,Automatic,HatchBack,614000
Hyundai AURA,2021,45833,2,PETROL,KA-03,Automatic,Sedan,956000
Maruti Swift,2018,38189,2,PETROL,KA-01,Manual,HatchBack,684000
Volkswagen Jetta,2015,32226,2,PETROL,MH-04,Manual,Sedan,827000
Honda Amaze,2019,59511,1,PETROL,MH-43,Manual,Sedan,302000
Hyundai Grand i10,2014,60509,2,PETROL,KA-05,Manual,HatchBack,403000
Maruti Alto K10,2015,60971,1,PETROL,KL-05,Manual,HatchBack,296000
Maruti Wagon R 1.0,2011,29025,2,CNG,MH-12,Manual,HatchBack,281000
Maruti Ertiga,2013,105946,2,PETROL,,Manual,SUV,571000
Hyundai VENUE,2020,30121,1,DIESEL,UP-78,Manual,SUV,919000
Maruti Ciaz,2016,95301,1,DIESEL,CH-01,Manual,Sedan,440000
Maruti Alto,2020,38431,1,PETROL,WB-02,Manual,HatchBack,305000
Hyundai Grand i10,2014,41213,1,PETROL,MH-01,Automatic,HatchBack,374000
Maruti IGNIS,2017,30045,1,CNG,HR-36,Manual,HatchBack,493000
Maruti Swift,2012,70989,1,PETROL,DL-9C,Manual,HatchBack,315000
Honda Jazz,2019,17434,1,PETROL,KA-03,Automatic,HatchBack,784000
Maruti Vitara Brezza,2018,53716,1,DIESEL,TS-09,Automatic,SUV,881000
Maruti Alto 800,2017,23825,2,PETROL,GJ-15,Manual,HatchBack,298000
Maruti Baleno,2018,44491,2,PETROL,HR-26,Automatic,HatchBack,592000
Honda City,2014,85845,1,PETROL,PB-10,Manual,Sedan,649000
Maruti Swift,2015,89183,1,PETROL,TN-13,Manual,HatchBack,481000
Maruti Dzire,2017,52033,2,DIESEL,MH-05,Automatic,Sedan,736000
Maruti Celerio,2021,12364,1,PETROL,KA-04,Automatic,HatchBack,617000
Maruti Swift,2013,69622,1,PETROL,MH-02,Manual,HatchBack,385000
Maruti Celerio,2018,51390,1,CNG,MH-43,Manual,HatchBack,433000
Honda City,2017,31847,1,PETROL,TS-07,Automatic,Sedan,1025000
Renault TRIBER,2019,50027,1,PETROL,TN-05,Manual,SUV,606000
Honda City,2017,30068,1,PETROL,DL-3C,Manual,Sedan,668000
Maruti Alto 800,2016,99026,3,PETROL,WB-06,Manual,HatchBack,207000
Maruti New Wagon-R,2022,7008,1,PETROL,GJ-16,Manual,HatchBack,671000
Maruti Celerio,2019,47671,1,PETROL,GJ-19,Manual,HatchBack,510000
Honda Brio,2013,60993,1,PETROL,AP-09,Manual,HatchBack,359000
Maruti Baleno,2018,78631,1,DIESEL,KA-05,Manual,HatchBack,628000
Maruti Alto,2019,83611,1,PETROL,PB-10,Manual,HatchBack,362000
Maruti IGNIS,2017,107141,1,DIESEL,TN-59,Manual,HatchBack,586000
Hyundai Grand i10,2015,52596,2,PETROL,GJ-01,Manual,HatchBack,468000
Maruti Alto K10,2014,42036,1,PETROL,WB-24,Manual,HatchBack,243000
Maruti S Cross,2020,5647,1,PETROL,PB-08,Manual,SUV,862000
Maruti Wagon R 1.0,2015,60409,1,PETROL,MP-04,Manual,HatchBack,374000
Honda CRV,2015,70654,1,PETROL,MH-02,Automatic,Lux_SUV,917000
Maruti S PRESSO,2021,17455,1,PETROL,GJ-27,Manual,HatchBack,474000
Maruti Ciaz,2017,74557,1,PETROL,RJ-07,Manual,Sedan,674000
KIA SELTOS,2020,21660,1,PETROL,KA-02,Manual,SUV,1208000
Honda City,2014,119769,1,PETROL,,Automatic,Sedan,526000
Hyundai Elite i20,2017,41003,1,PETROL,KA-02,Manual,HatchBack,688000
Tata Tiago,2016,36232,1,PETROL,KA-03,Manual,HatchBack,492000
Maruti Swift Dzire,2015,62441,1,PETROL,DL-4C,Manual,Sedan,411000
Maruti Vitara Brezza,2021,93405,1,PETROL,MH-12,Manual,SUV,815000
Maruti S Cross,2020,2934,1,PETROL,MP-13,Manual,SUV,1023000
Honda Amaze,2020,24667,2,PETROL,UP-52,Manual,Sedan,605000
Toyota Corolla Altis,2018,34339,2,PETROL,WB-06,Automatic,Lux_sedan,1215000
Renault Kwid,2017,39992,2,PETROL,TS-08,Manual,HatchBack,338000
Renault TRIBER,2021,18023,1,PETROL,TS-08,Automatic,SUV,714000
Volkswagen Polo,2011,88120,1,PETROL,DL-7C,Manual,HatchBack,258000
Maruti Celerio,2014,52357,1,PETROL,KA-51,Automatic,HatchBack,414000
Tata TIGOR,2020,33829,1,PETROL,MH-43,Manual,Sedan,362000
KIA SELTOS,2019,54302,1,DIESEL,HR-26,Automatic,SUV,1592000
Maruti Swift Dzire,2017,65798,1,PETROL,DL-8C,Manual,Sedan,503000
Maruti Alto,2019,46731,2,PETROL,GJ-03,Manual,HatchBack,290000
Mahindra TUV300,2018,62707,2,DIESEL,TS-08,Manual,SUV,812000
Hyundai GRAND I10 NIOS,2022,16325,1,CNG,HR-26,Manual,HatchBack,759000
Honda City,2016,83052,2,PETROL,MH-12,Automatic,Sedan,567000
Hyundai Grand i10,2019,33114,1,PETROL,GJ-05,Manual,HatchBack,564000
Hyundai Grand i10,2014,83041,2,PETROL,TN-14,Manual,HatchBack,430000
Hyundai Grand i10,2015,92466,1,PETROL,KA-01,Manual,HatchBack,412000
Maruti Celerio,2017,66656,1,PETROL,TN-11,Manual,HatchBack,464000
Hyundai i10,2015,52673,1,PETROL,WB-20,Manual,HatchBack,276000
Hyundai i10,2012,62273,1,PETROL,HR-26,Manual,HatchBack,253000
Maruti Wagon R 1.0,2018,94153,1,CNG,GJ-01,Manual,HatchBack,424000
Volkswagen Ameo,2016,52858,1,DIESEL,UP-14,Manual,Sedan,876000
Hyundai i10,2016,41023,2,PETROL,RJ-01,Manual,HatchBack,352000
Maruti Wagon R 1.0,2012,56495,2,PETROL,MP-04,Manual,HatchBack,254000
Hyundai Eon,2012,10545,1,PETROL,KA-01,Manual,HatchBack,269000
Maruti Alto K10,2013,78187,1,PETROL,KL-08,Manual,HatchBack,226000
Hyundai Elite i20,2016,70040,2,DIESEL,GJ-19,Manual,HatchBack,593000
Hyundai Xcent,2017,43185,1,PETROL,UP-16,Manual,Sedan,594800
Honda Amaze,2020,72038,1,PETROL,DL-14,Manual,Sedan,654000
Maruti Swift,2021,11210,1,PETROL,DL-2C,Manual,HatchBack,648000
Maruti Baleno,2015,55183,1,PETROL,TN-07,Manual,HatchBack,567000
Mahindra TUV300,2018,60466,2,DIESEL,TN-14,Manual,SUV,775000
Maruti Ertiga,2015,31208,1,PETROL,KA-01,Manual,SUV,794000
Hyundai Verna,2012,80132,2,DIESEL,TS-01,Manual,Sedan,450000
Maruti Swift Dzire,2014,49089,1,PETROL,DL-10,Manual,Sedan,796000
Renault Kwid,2018,57700,2,PETROL,GJ-01,Manual,HatchBack,338000
Hyundai Grand i10,2016,39699,1,PETROL,WB-02,Manual,HatchBack,401000
Hyundai Eon,2016,30021,1,PETROL,TN-42,Manual,HatchBack,288350
Nissan Micra,2014,64081,1,PETROL,MH-11,Automatic,HatchBack,346000
Hyundai i10,2014,36861,1,PETROL,GJ-01,Manual,HatchBack,324000
Renault TRIBER,2019,62391,1,PETROL,HR-13,Manual,SUV,462000
Honda Amaze,2018,56997,2,PETROL,TN-03,Manual,Sedan,552000
Hyundai Elite i20,2016,87062,1,PETROL,WB-02,Manual,HatchBack,451000
Maruti Baleno,2015,84473,3,DIESEL,KA-20,Manual,HatchBack,592000
Maruti XL6,2021,44462,2,PETROL,TS-09,Automatic,SUV,1217000
Skoda Rapid,2018,44934,3,PETROL,RJ-45,Manual,Sedan,466000
Maruti IGNIS,2017,47470,1,PETROL,KA-03,Manual,HatchBack,502000
Toyota URBAN CRUISER,2021,48655,1,PETROL,KA-47,Manual,SUV,924000
Maruti IGNIS,2017,13907,1,PETROL,MH-12,Automatic,HatchBack,581000
Hyundai i10,2010,80897,1,PETROL,MP-09,Manual,HatchBack,252000
Maruti IGNIS,2018,43453,1,PETROL,PB-91,Automatic,HatchBack,463000
Maruti Swift,2018,81889,1,DIESEL,UP-14,Manual,HatchBack,590000
Hyundai Verna,2018,46551,1,DIESEL,KL-41,Manual,Sedan,883000
Maruti Swift,2019,28793,1,PETROL,UP-15,Manual,HatchBack,542000
Hyundai Grand i10,2018,71156,1,DIESEL,MH-48,Manual,HatchBack,491000
Volkswagen Polo,2013,82867,2,PETROL,TN-69,Manual,HatchBack,395000
Honda City,2019,63551,1,PETROL,DL-3C,Automatic,Sedan,902000
Hyundai Elite i20,2018,78662,1,CNG,HR-36,Manual,HatchBack,574000
Maruti Celerio,2016,86469,1,PETROL,MH-14,Manual,HatchBack,455000
Honda Amaze,2016,96733,1,DIESEL,TN-87,Automatic,Sedan,1019000
Maruti Swift,2018,67028,1,DIESEL,TN-06,Automatic,HatchBack,677000
Hyundai Grand i10,2013,107737,2,PETROL,,Manual,HatchBack,348000
Hyundai VENUE,2021,11584,1,PETROL,CH-01,Manual,SUV,799000
Maruti Baleno,2021,14485,1,PETROL,BR-01,Manual,HatchBack,783000
Hyundai Elite i20,2018,91355,1,DIESEL,WB-24,Manual,HatchBack,515000
Ford Ecosport,2018,61873,1,DIESEL,TS-08,Manual,SUV,881000
Hyundai i10,2013,68087,1,CNG,DL-8C,Manual,HatchBack,257000
Maruti Celerio,2015,94224,2,PETROL,KA-51,Automatic,HatchBack,372000
Maruti Vitara Brezza,2016,91429,2,DIESEL,HR-26,Manual,SUV,643000
Maruti Vitara Brezza,2017,45733,1,DIESEL,UP-78,Manual,SUV,735000
Renault Kwid,2021,4730,1,PETROL,MH-12,Manual,HatchBack,499000
Hyundai i20 Active,2018,44266,2,DIESEL,HR-26,Manual,HatchBack,744000
Hyundai NEW SANTRO,2018,50669,1,CNG,MH-03,Manual,HatchBack,541000
Hyundai i10,2016,79917,1,PETROL,KA-05,Manual,HatchBack,384000
Maruti Celerio,2017,26616,1,PETROL,KA-41,Manual,HatchBack,450000
Honda CRV,2015,60268,2,PETROL,MH-02,Automatic,Lux_SUV,788000
Maruti Wagon R 1.0,2016,77235,2,CNG,MH-47,Manual,HatchBack,361000
Maruti New Wagon-R,2021,36892,1,CNG,BR-01,Manual,HatchBack,619000
Renault Kwid,2018,30412,2,PETROL,GJ-05,Manual,HatchBack,375000
Renault Kwid,2016,44487,2,PETROL,KA-53,Manual,HatchBack,303000
Maruti Wagon R 1.0,2012,80714,1,PETROL,KL-07,Manual,HatchBack,255000
Maruti Celerio X,2019,73227,2,PETROL,TS-08,Manual,HatchBack,493000
Maruti IGNIS,2018,35050,1,PETROL,KA-19,Manual,HatchBack,508000
Maruti Vitara Brezza,2019,61307,1,DIESEL,HR-30,Manual,SUV,789000
Honda City,2015,94947,1,PETROL,KA-03,Automatic,Sedan,649000
Honda Amaze,2016,72477,2,PETROL,BR-01,Manual,Sedan,369000
Tata Tiago,2021,43559,1,PETROL,TS-07,Manual,HatchBack,572000
Maruti New Wagon-R,2021,31819,1,CNG,DL-2C,Manual,HatchBack,641000
Honda Jazz,2011,57758,1,PETROL,MH-02,Manual,HatchBack,237000
Tata Tiago,2019,81827,1,PETROL,UP-13,Automatic,HatchBack,507000
Tata ALTROZ,2020,32510,2,PETROL,UP-32,Manual,HatchBack,651000
Hyundai NEW I20,2021,34160,1,PETROL,TS-09,Automatic,HatchBack,1006000
Maruti Wagon R 1.0,2012,36846,1,PETROL,TN-10,Manual,HatchBack,325000
Hyundai NEW SANTRO,2020,30820,1,CNG,MH-12,Manual,HatchBack,549000
Maruti Celerio,2018,32876,1,CNG,HR-85,Manual,HatchBack,433000
Hyundai Elite i20,2018,30206,1,PETROL,HR-36,Manual,HatchBack,671000
Maruti Swift,2021,48628,1,PETROL,KA-05,Manual,HatchBack,718000
Datsun Redi Go,2016,61126,1,PETROL,TN-01,Manual,HatchBack,270000
Maruti Wagon R 1.0,2010,87820,1,PETROL,KA-05,Manual,HatchBack,267000
Maruti Wagon R 1.0,2018,33443,1,PETROL,HR-51,Manual,HatchBack,418000
Mahindra XUV500,2014,99432,1,DIESEL,RJ-14,Manual,Lux_SUV,593000
Maruti Ciaz,2020,89411,1,PETROL,KA-51,Automatic,Sedan,563000
Hyundai Santro Xing,2013,61308,1,PETROL,HR-51,Manual,HatchBack,219000
Maruti Celerio,2016,100882,1,CNG,MH-01,Manual,HatchBack,388000
Maruti Alto,2011,66153,1,PETROL,MH-12,Manual,HatchBack,170000
Maruti Wagon R 1.0,2017,66092,1,CNG,MH-47,Manual,HatchBack,447000
Maruti Baleno,2019,69125,1,PETROL,WB-10,Manual,HatchBack,629000
Maruti Swift,2015,33431,1,PETROL,DL-3C,Manual,HatchBack,379000
Toyota Corolla Altis,2011,82699,2,PETROL,HR-26,Manual,Lux_sedan,366000
Tata NEXON,2018,35226,2,PETROL,TS-08,Automatic,SUV,873000
Hyundai i20,2011,88392,2,PETROL,GJ-06,Manual,HatchBack,272000
Renault Kwid,2022,5943,1,PETROL,DL-14,Manual,HatchBack,504000
Honda City,2016,95554,1,PETROL,MH-12,Manual,Sedan,622800
Maruti Wagon R 1.0,2016,49124,2,PETROL,TN-07,Manual,HatchBack,474000
Hyundai Verna,2017,59476,2,PETROL,MH-03,Manual,Sedan,778000
Maruti Baleno,2021,15844,1,PETROL,GJ-03,Manual,HatchBack,743000
Hyundai Eon,2014,73034,3,PETROL,KA-03,Manual,HatchBack,254000
Maruti Baleno,2017,20275,1,PETROL,DL-8C,Manual,HatchBack,493000
Maruti Ciaz,2016,45173,3,PETROL,MH-12,Manual,Sedan,577000
Honda City,2020,114247,2,DIESEL,MH-04,Automatic,Sedan,616000
Maruti Alto,2020,71071,1,PETROL,TS-15,Manual,HatchBack,364000
Ford Figo Aspire,2020,15072,2,PETROL,HR-26,Manual,Sedan,642000
Honda City,2015,35024,1,PETROL,DL-4C,Automatic,Sedan,736000
Hyundai Grand i10,2018,46003,1,PETROL,GJ-03,Manual,HatchBack,514000
Maruti Alto,2019,27896,1,PETROL,DL-8C,Manual,HatchBack,338000
Maruti Ritz,2010,78242,1,PETROL,KA-51,Manual,HatchBack,311000
Maruti Vitara Brezza,2020,14546,1,PETROL,MH-04,Manual,SUV,920350
Hyundai AURA,2021,20183,1,PETROL,DL-9C,Manual,Sedan,664000
Hyundai Elite i20,2018,33483,2,PETROL,TN-14,Manual,HatchBack,673000
Maruti Alto 800,2017,52052,2,PETROL,TS-15,Manual,HatchBack,296000
Maruti Baleno,2017,34799,1,DIESEL,KA-04,Manual,HatchBack,700000
Maruti Ritz,2014,38170,1,DIESEL,KA-05,Manual,HatchBack,452000
Datsun Redi Go,2019,23072,1,PETROL,TN-06,Manual,HatchBack,326000
Hyundai Grand i10,2018,40235,2,PETROL,TS-07,Manual,HatchBack,535000
Maruti Alto,2010,90671,1,PETROL,TN-22,Manual,HatchBack,197000
Hyundai Verna,2018,45621,1,PETROL,KA-03,Manual,Sedan,820000
Hyundai Grand i10,2016,72842,1,PETROL,RJ-14,Automatic,HatchBack,428650
Hyundai Grand i10,2017,27169,1,PETROL,GJ-01,Manual,HatchBack,486000
Hyundai Elite i20,2016,91660,1,PETROL,KA-01,Manual,HatchBack,641000
Hyundai Eon,2015,75022,2,PETROL,KL-47,Manual,HatchBack,202000
Renault Kwid,2021,26757,1,PETROL,GJ-01,Manual,HatchBack,446000
Maruti Swift,2015,80025,2,PETROL,DL-1C,Manual,HatchBack,387000
Renault Kiger,2021,36390,1,PETROL,TN-23,Manual,HatchBack,889000
Honda Amaze,2014,69762,3,PETROL,KA-04,Manual,Sedan,400000
Maruti Ciaz,2015,29214,3,PETROL,MH-12,Automatic,Sedan,574000
Maruti New Wagon-R,2021,28647,1,CNG,KA-50,Manual,HatchBack,585000
Maruti Alto,2019,17941,2,PETROL,BR-06,Manual,HatchBack,334000
Mahindra XUV500,2020,24488,1,DIESEL,KA-04,Automatic,Lux_SUV,1934000
Maruti Baleno,2017,84422,1,PETROL,KA-53,Manual,HatchBack,520000
Maruti Baleno,2017,28802,1,PETROL,KA-01,Manual,HatchBack,701000
KIA SELTOS,2019,78396,1,PETROL,TS-15,Automatic,SUV,1294000
Mahindra KUV 100 NXT,2017,28059,2,PETROL,WB-26,Manual,SUV,423000
Maruti Vitara Brezza,2016,93194,1,DIESEL,MH-04,Manual,SUV,692000
Renault Kwid,2016,68988,2,PETROL,MH-48,Manual,HatchBack,289000
Hyundai AURA,2021,80881,2,PETROL,TN-12,Manual,Sedan,407000
Honda City,2021,80672,2,DIESEL,TS-08,Manual,Sedan,854000
Toyota Glanza,2019,59272,1,PETROL,MP-04,Manual,HatchBack,717000
Hyundai i10,2016,101623,1,PETROL,,Manual,HatchBack,339000
Hyundai i10,2010,17300,1,PETROL,AP-29,Manual,HatchBack,298000
Toyota YARIS,2019,111882,3,PETROL,,Automatic,Sedan,471000
Toyota Glanza,2020,20580,2,PETROL,UP-78,Manual,HatchBack,663000
Mahindra KUV 100 NXT,2020,26967,1,PETROL,DL-8C,Manual,SUV,569000
Renault Kwid,2016,42167,2,PETROL,TN-12,Manual,HatchBack,325000
